Vluchtnr	Airlinecode	Destcode	Planterminal	Plangate	Plantijd
SQ2993	SQ	SIN	D	D4	4:00 AM
SQC5021	SQC	SIN			
SQC5185	SQC	SIN			
SQC5737	SQC	JNB			
SQC6787	SQC	ORD			
SQC7065	SQC	LHR			
SQC8051	SQC	LHR			
SQC8211	SQC	ORD			
SQC8245	SQC	SIN			
SQC8379	SQC	ORD			
SQC8577	SQC	CPH			
SQC8617	SQC	JNB			
SQC8633	SQC	LHR			
SQC9003	SQC	CPH			
SQC9265	SQC	JNB			
SQC9341	SQC	CPH			
SR436	SR	ZRH	B	B3	12:25 PM
SR437	SR	ZRH	B	B3	1:10 PM
SR438	SR	ZRH	B	B3	8:50 PM
SR439	SR	ZRH	B	B3	9:35 PM
SU1830	SU	SVO	D	D3	11:40 PM
SU1831	SU	SVO	D	D3	2:25 AM
SU1832	SU	SVO	D	D3	11:35 AM
SU1833	SU	SVO	D	D3	12:50 PM
THY5343	THY	IST			
THY5659	THY	IST			
THY6909	THY	STN			
THY7075	THY	STN			
THY7755	THY	IST			
THY9603	THY	STN			
TK296	TK	ESB	B	B5	10:20 PM
TK297	TK	ESB	B	B5	2:25 AM
TK298	TK	ESB	B	B5	11:55 AM
TK299	TK	ESB	B	B5	12:40 PM
TK504	TK	IST	B	B5	4:25 AM
TK505	TK	IST	B	B5	5:10 AM
TK506	TK	IST	B	B5	7:05 PM
TK507	TK	IST	B	B5	7:50 PM
TP324	TP	LIS	A	A5	10:55 PM
TP325	TP	LIS	A	A5	3:55 AM
TP326	TP	LIS	A	A5	1:40 PM
TP327	TP	LIS	A	A5	2:25 PM
TS3112	TS	YVR	D	D6	5:15 AM
TS3113	TS	YVR	D	D6	6:30 AM
TS5596	TS	YYZ	D	D6	4:35 PM
TS5597	TS	YYZ	D	D6	5:50 PM
TS5870	TS	YYC	D	D6	11:50 AM
TS5871	TS	YYC	D	D6	1:05 PM
TU1080	TU	TUN	E	E5	6:20 AM
TU1081	TU	TUN	E	E5	7:35 AM
TU1082	TU	TUN	E	E5	6:40 PM
TU1083	TU	TUN	E	E5	7:55 PM
UA2362	UA	IAD	E	E4	11:00 PM
UA2363	UA	IAD	E	E4	3:50 AM
UA2888	UA	IAH	E	E4	8:25 AM
UA2889	UA	IAH	E	E4	9:40 AM
UA4102	UA	ORD	E	E4	6:10 PM
UA4103	UA	ORD	E	E4	7:25 PM
UAE6619	UAE	DWC			
UAE7395	UAE	DWC			
UAE7631	UAE	IAH			
UAE7833	UAE	IAH			
UAE9521	UAE	IAH			
UAE9693	UAE	DWC			
UX438	UX	MAD	A	A4	9:20 AM
UX439	UX	MAD	A	A4	10:05 AM
UX440	UX	MAD	A	A4	6:00 PM
UX441	UX	MAD	A	A4	6:45 PM
WF4141	WF	BOO			
